company_name_kr,ticker,industry,aliases
네오이뮨텍,950220,일반서비스,"네오이뮨텍, NeoImmuneTech, Inc."
네오크레마,311390,음식료·담배,"네오크레마, Neo Cremar Co., Ltd."
네오티스,085910,운송장비·부품,"네오티스, NEO TECHNICAL SYSTEM CO., LTD"
네오팜,092730,화학,"네오팜, Neopharm CO., LTD."
네오펙트,290660,의료·정밀기기,"네오펙트, NEOFECT Co.,Ltd"
네온테크,306620,기계·장비,"네온테크, Neontech Co., Ltd."
네이블,153460,IT 서비스,"네이블, Nable"
네이처셀,007390,제약,"네이처셀, NATURECELL CO.,LTD."
네패스,033640,전기·전자,"네패스, NEPES Corporation"
네패스아크,330860,일반서비스,"네패스아크, Nepes Ark Corporation"
넥사다이내믹스,351320,기계·장비,"넥사다이내믹스, Nexa Dynamics"
넥센우,005725,화학,"넥센1우선주, NEXEN(1P)"
넥센,005720,화학,"넥센보통주, NEXEN"
넥센타이어1우B,002355,화학,"넥센타이어1우선주(신형), NEXENTIRE(1PB)"
넥센타이어,002350,화학,"넥센타이어보통주, NEXENTIRE"
넥스턴앤롤코리아,089140,기계·장비,"넥스턴앤롤코리아, NEXTURN&ROLLKOREA"
넥스트바이오메디컬,389650,의료·정밀기기,"넥스트바이오메디컬, NEXTBIOMEDICAL CO., LTD."
넥스트아이,137940,의료·정밀기기,"넥스트아이, NextEye Co., Ltd."
NEW,160550,오락·문화,"넥스트엔터테인먼트월드, Next Entertainment World Co., Ltd."
넥스트칩,396270,전기·전자,"넥스트칩, NEXTCHIP Co., Ltd."
넥스틴,348210,기계·장비,"넥스틴, NEXTIN Inc."
넥스틸,092790,금속,"넥스틸보통주, NEXTEEL"
넥슨게임즈,225570,IT 서비스,"넥슨게임즈, NEXON Games"
넥써쓰,205500,IT 서비스,"넥써쓰, NEXUS"
넵튠,217270,IT 서비스,"넵튠, Neptune Company"
넷마블,251270,IT 서비스,"넷마블보통주, Netmarble Corporation"
노랑풍선,104620,일반서비스,"노랑풍선, Yellow Balloon Tour Co., Ltd."
노루페인트우,090355,화학,"노루페인트 1우선주, NOROO PAINT(1P)"
노루페인트,090350,화학,"노루페인트 보통주, NOROO PAINT"
노루홀딩스우,000325,기타금융,"노루홀딩스1우선주, NorooHoldings(1P)"
노루홀딩스,000320,기타금융,"노루홀딩스보통주, NorooHoldings"
노머스,473980,오락·문화,"노머스, Knowmerce Corp."
노바렉스,194700,음식료·담배,"노바렉스, NOVAREX Co., Ltd."
노바텍,285490,기타제조,"노바텍, NOVATECH"
노브랜드,145170,섬유·의류,"노브랜드, Nobland International Inc."
노블엠앤비,106520,의료·정밀기기,"노블엠앤비, Noble M&B"
노을,376930,의료·정밀기기,"노을, Noul Co., Ltd."
노타,486990,IT 서비스,"노타, Nota Inc."
녹십자,006280,제약,"녹십자보통주, Green Cross Corporation"
녹십자엠에스,142280,제약,"녹십자엠에스, Green Cross Medical Science Corporation"
녹십자웰빙,234690,제약,"녹십자웰빙, GREEN CROSS WellBeing Corporation"
녹십자홀딩스2우,005257,일반서비스,"녹십자홀딩스2우선주(신형), Green Cross Holdings Corporation(2PB)"
녹십자홀딩스,005250,일반서비스,"녹십자홀딩스보통주, Green Cross Holdings Corporation"
농심,004370,음식료·담배,"농심보통주, Nongshim"
농심홀딩스,072710,기타금융,"농심홀딩스보통주, NongshimHoldings"
아시아종묘,154030,"농업, 임업 및 어업","농업회사법인 아시아종묘, ASIA SEED Co.,Ltd."
농우바이오,054050,"농업, 임업 및 어업","농업회사법인 엔에이치농우바이오, NH NONGWOOBIO"
우듬지팜,403490,음식료·담배,"농업회사법인 우듬지팜, WooDeumGee Farm Co., Ltd"
누리플랜,069140,금속,"누리플랜, Nuriplan Co., Ltd"
누리플렉스,040160,IT 서비스,"누리플렉스, NuriFlex"
누보,332290,화학,"누보, NOUSBO"
뉴로메카,348340,기계·장비,"뉴로메카, Neuromeka Co., Ltd."
뉴로핏,380550,IT 서비스,"뉴로핏, NEUROPHET Inc."
뉴보텍,060260,화학,"뉴보텍, NUVOTEC Co., Ltd"
뉴엔AI,463020,IT 서비스,"뉴엔에이아이, NEWEN AI"
뉴온,123840,음식료·담배,"뉴온, NUON"
뉴인텍,012340,운송장비·부품,"뉴인텍, NUIN TEK CO., LTD"
뉴키즈온,462310,섬유·의류,"뉴키즈온, New Kids On Co.,Ltd."
뉴트리,270870,음식료·담배,"뉴트리, Newtree Co., Ltd."
뉴파워프라즈마,144960,기계·장비,"뉴파워프라즈마, New Power Plasma Co.,Ltd"
뉴프렉스,085670,전기·전자,"뉴프렉스, NEWFLEX TECHNOLOGY Co., LTD."
다날,064260,IT 서비스,"다날, DANAL CO., LTD."
다보링크,340360,전기·전자,"다보링크, DAVOLINK"
다산네트웍스,039560,전기·전자,"다산네트웍스, DASAN Networks, Inc."
다산솔루에타,154040,전기·전자,"다산솔루에타, Dasan Solueta"
다스코,058730,금속,"다스코보통주, Development Advance Solution"
다올투자증권,030210,증권,"다올투자증권보통주, Daol Investment & Securities"
다우기술,023590,IT 서비스,"다우기술보통주, DaouTechnology"
다우데이타,032190,유통,"다우데이타, DAOU DATA CORP."
다원넥스뷰,323350,의료·정밀기기,"다원넥스뷰, DAWON NEXVIEW CO.,LTD."
다원시스,068240,전기·전자,"다원시스, DAWONSYS Co., LTD"
다이나믹디자인,145210,기계·장비,"다이나믹디자인보통주, Dynamic Design"
달바글로벌,483650,화학,"달바글로벌보통주, d'Alba Global"
닷밀,464580,오락·문화,"닷밀, dotmill Inc."
대교,019680,일반서비스,"대교보통주, DAEKYO"
대교우B,019685,일반서비스,"대교우선주(신형), DAEKYO(1PB)"
대구백화점,006370,유통,"대구백화점보통주, DaeguDepartmentStore"
대덕1우,00806K,기타금융,"대덕1우선주, DAEDUCK Co.,LTD(1P)"
대덕,008060,기타금융,"대덕보통주, DAEDUCK Co.,LTD"
대덕전자,353200,전기·전자,"대덕전자보통주, DaeduckElectronics"
대덕전자1우,35320K,전기·전자,"대덕전자우선주, DaeduckElectronics(1P)"
대동금속,020400,금속,"대동금속, DaedongMetal"
대동기어,008830,기계·장비,"대동기어, DaedongGear"
대동,000490,기계·장비,"대동보통주, DAEDONG CORPORATION"
대동스틸,048470,유통,"대동스틸, DAE DONG STEEL CO., LTD."
대동전자,008110,전기·전자,"대동전자보통주, DAIDONGElECTRONICS"
대륙제관,004780,금속,"대륙제관, DaeryukCan"
대림바스,005750,비금속,"대림바스보통주, DAELIM BATH"
대림제지,017650,종이·목재,"대림제지, DaelimPaper"
대림통상,006570,금속,"대림통상보통주, DaelimTrading"
대명에너지,389260,건설,"대명에너지, Dae Myoung Energy Co. Ltd."
대모,317850,기계·장비,"대모엔지니어링, DAEMO Engineering Co.,Ltd."
대보마그네틱,290670,전기·전자,"대보마그네틱, DAEBO MAGNETIC CO.,LTD."
대봉엘에스,078140,제약,"대봉엘에스, Daebongls co., Ltd"
대산F&B,065150,유통,"대산에프앤비, Daesan F&B Inc."
대상우,001685,음식료·담배,"대상1우선주, Daesang(1P)"
대상,001680,음식료·담배,"대상보통주, Daesang"
대상홀딩스우,084695,기타금융,"대상홀딩스 1우선주, Daesang Holdings(1P)"
대상홀딩스,084690,기타금융,"대상홀딩스 보통주, Daesang Holdings"
대성미생물,036480,제약,"대성미생물연구소, Daesung Microbiological Labs. Co., Ltd."
대성산업,128820,유통,"대성산업보통주, DAESUNG INDUSTRIAL"
대성에너지,117580,전기·가스,"대성에너지보통주, DAESUNG ENERGY"
대성창투,027830,금융,"대성창업투자, Daesung Private Equity, Inc."
대성파인텍,104040,운송장비·부품,"대성파인텍, Daesung Fine Tech. Co., Ltd"
대성하이텍,129920,기계·장비,"대성하이텍, Daesung Hi-Tech Co., Ltd."
대성홀딩스,016710,일반서비스,"대성홀딩스보통주, DAESUNG HOLDINGS"
대신밸런스제16호스팩,457630,금융,"대신밸런스제16호기업인수목적, Daishin Balance No.16 Special Purpose Acquisition Company"
대신밸런스제17호스팩,471050,금융,"대신밸런스제17호기업인수목적, Daishin Balance No.17 Special Purpose Acquisition Company"
대신밸런스제18호스팩,478780,금융,"대신밸런스제18호기업인수목적, Daishin Balance No.18 Special Purpose Acquisition Company"
